X,Y,ANC_ID,OBJECTID
-77.0664985748555,38.9325306864003,3C,934334
-77.0668848040056,38.9325640669988,3C,934335
-77.0414559995906,38.9261374949777,1C,934336
-77.0414559989023,38.9263545053569,1C,934337
-77.04147745836,38.9265882095329,1C,934338
-77.016629475603,38.9565458734345,4D,934339
-77.0163076106019,38.956612615969,4D,934340
-77.0320851571896,38.9101447193563,2F,934345
-77.0447190324331,38.9079563399608,2B,934348
-77.0445259136024,38.9079563416535,2B,934349
-77.0335771373632,38.899385876141,2C,934350
-77.0264585518124,38.8969685904292,2C,934351
-77.0166524007999,38.8962087426993,2C,934352
-77.0165960734028,38.8962922402567,2C,934353
-77.0169259854153,38.896210829349,2C,934354
-77.0240526112823,38.9335008750345,1A,934355
-77.0590742206426,38.9018615230901,2E,934357
-77.0590742183006,38.9020118185537,2E,934358
-77.059063482534,38.901604781269,2E,934359
-77.0590661709286,38.9017049708841,2E,934360
-77.0058773136438,38.8766012639841,6D,934361
-77.0076632346879,38.877510675167,6D,934364
-77.0035491463626,38.8771963716055,6D,934366
-77.0190051672143,38.9151094449755,1B,934367
-77.0487274424421,38.9068438452724,2B,934368
-77.0058773098584,38.8765553211579,6D,934370
-77.0042277533651,38.8765741210108,6D,934372
-77.0035545119972,38.8771003149108,6D,934373
-77.0041928778122,38.8767244634101,6D,934375
-76.9898293514209,38.8645992763911,8A,934376
-77.0110619246447,38.9025134392328,6E,934377
-76.9972364565204,38.9037153297932,6C,934379
-77.0066955800247,38.9024909169457,6C,934380
-77.022679375428,38.9165031626515,1B,934381
-77.0047404482491,38.8765275279017,6D,934382
-77.0240784524484,38.9167846453589,1B,934383
-77.0042036080455,38.8767411645924,6D,934384
-76.9870643337163,38.8671616083262,8A,934387
-77.0099446008876,38.9025510054576,6E,934388
-77.0074412408138,38.9025159690986,6C,934389
-76.9886736535894,38.8674623321334,8A,934391
-76.9636921160478,38.8757756260249,7B,934393
-77.0066651286003,38.8783917124236,6D,934394
-77.0081359267784,38.902476313031,6C,934395
